o_zone_id,o_zone_name,d_zone_id,d_zone_name,dist_km,volume,geometry
12,B2,28,C8,26.25058258800685,521.9267133278883,"LINESTRING (4.1242054 51.972790485, 4.506595 51.957860475)"
12,B2,29,C9,30.609414109826666,193.9776800209814,"LINESTRING (4.1242054 51.972790485, 4.5703266 51.957860475)"
12,B2,30,D0,9.343955160992767,603.3708718921657,"LINESTRING (4.1242054 51.972790485, 3.9967422 51.942930465)"
12,B2,31,D1,5.4859444259625585,159.56130621085651,"LINESTRING (4.1242054 51.972790485, 4.0604738 51.942930465)"
12,B2,32,D2,3.3202827322791615,955.6612687193316,"LINESTRING (4.1242054 51.972790485, 4.1242054 51.942930465)"
12,B2,33,D3,5.4859444259625585,109.41346711601588,"LINESTRING (4.1242054 51.972790485, 4.187937 51.942930465)"
12,B2,34,D4,9.343955161475042,2.806376148166284,"LINESTRING (4.1242054 51.972790485, 4.2516686 51.942930465)"
12,B2,35,D5,13.51539747707928,0.0,"LINESTRING (4.1242054 51.972790485, 4.3154002 51.942930465)"
12,B2,36,D6,17.78102712934155,153.1047200258113,"LINESTRING (4.1242054 51.972790485, 4.3791318 51.942930465)"
12,B2,37,D7,22.0863366369662,885.5993484373793,"LINESTRING (4.1242054 51.972790485, 4.4428634 51.942930465)"
12,B2,38,D8,26.41192643602146,357.0143666253509,"LINESTRING (4.1242054 51.972790485, 4.506595 51.942930465)"
12,B2,39,D9,30.749236426729688,191.04667869244298,"LINESTRING (4.1242054 51.972790485, 4.5703266 51.942930465)"
12,B2,40,E0,10.055607260595007,382.5422505307929,"LINESTRING (4.1242054 51.972790485, 3.9967422 51.928000455)"
12,B2,41,E1,6.624370247241688,146.08671262725815,"LINESTRING (4.1242054 51.972790485, 4.0604738 51.928000455)"
12,B2,42,E2,4.980424100558401,447.188950432818,"LINESTRING (4.1242054 51.972790485, 4.1242054 51.92800045499999)"
12,B2,43,E3,6.624370247241688,359.29434727244575,"LINESTRING (4.1242054 51.972790485, 4.187937 51.928000455)"
12,B2,44,E4,10.055607261491295,7.70219296284439,"LINESTRING (4.1242054 51.972790485, 4.2516686 51.928000455)"
12,B2,45,E5,14.017968788849274,0.0,"LINESTRING (4.1242054 51.972790485, 4.3154002 51.92800045499999)"
12,B2,46,E6,18.1671913821322,23.387788810038934,"LINESTRING (4.1242054 51.972790485, 4.379131800000001 51.928000455)"
12,B2,47,E7,22.39967223343973,913.8723804279429,"LINESTRING (4.1242054 51.972790485, 4.442863399999999 51.928000455)"
12,B2,48,E8,26.67580809605535,674.4626107694268,"LINESTRING (4.1242054 51.972790485, 4.506595 51.92800045499999)"
12,B2,49,E9,30.97752323788946,161.60369325497211,"LINESTRING (4.1242054 51.972790485, 4.5703266 51.928000455)"
12,B2,50,F0,10.974202111358178,2.2890967253441685,"LINESTRING (4.1242054 51.972790485, 3.9967422 51.91307044500001)"
12,B2,51,F1,7.948654851088318,0.0,"LINESTRING (4.1242054 51.972790485, 4.0604738 51.91307044500001)"
12,B2,52,F2,6.640565467424047,0.0,"LINESTRING (4.1242054 51.972790485, 4.1242054 51.913070445)"
12,B2,53,F3,7.948654851088318,170.47286478898138,"LINESTRING (4.1242054 51.972790485, 4.187937 51.91307044500001)"
12,B2,54,F4,10.974202111358178,782.8710800677057,"LINESTRING (4.1242054 51.972790485, 4.2516686 51.91307044500001)"
12,B2,55,F5,14.69193860329324,0.0,"LINESTRING (4.1242054 51.972790485, 4.3154002 51.913070445)"
12,B2,56,F6,18.69333797277916,2.629157559922802,"LINESTRING (4.1242054 51.972790485, 4.3791318 51.91307044500001)"
12,B2,57,F7,22.829728062792174,1041.2191514920837,"LINESTRING (4.1242054 51.972790485, 4.4428634 51.91307044500001)"
12,B2,58,F8,27.03922566868233,467.4745735126627,"LINESTRING (4.1242054 51.972790485, 4.506595 51.913070445)"
12,B2,59,F9,31.292338479578177,24.677941862626493,"LINESTRING (4.1242054 51.972790485, 4.5703266 51.91307044500001)"
12,B2,60,G0,12.052515167022499,0.0,"LINESTRING (4.1242054 51.972790485, 3.9967422 51.89814043500001)"
12,B2,61,G1,9.380409616530862,0.0,"LINESTRING (4.1242054 51.972790485, 4.0604738 51.89814043500001)"
12,B2,62,G2,8.300706833370027,0.0,"LINESTRING (4.1242054 51.972790485, 4.1242054 51.898140435)"
12,B2,63,G3,9.380409616530862,192.75862424823003,"LINESTRING (4.1242054 51.972790485, 4.187937 51.89814043500001)"
12,B2,64,G4,12.052515167022499,1302.6551854563488,"LINESTRING (4.1242054 51.972790485, 4.2516686 51.89814043500001)"
12,B2,65,G5,15.51498636270087,20.807310113599424,"LINESTRING (4.1242054 51.972790485, 4.3154002 51.898140435)"
12,B2,66,G6,19.348050323585007,105.85078373586813,"LINESTRING (4.1242054 51.972790485, 4.3791318 51.89814043500001)"
12,B2,67,G7,23.37006135701909,302.3530585593116,"LINESTRING (4.1242054 51.972790485, 4.4428634 51.89814043500001)"
12,B2,68,G8,27.49823302633154,614.2080041953279,"LINESTRING (4.1242054 51.972790485, 4.506595 51.898140435)"
12,B2,69,G9,31.691103570618054,168.11692462643546,"LINESTRING (4.1242054 51.972790485, 4.5703266 51.89814043500001)"
12,B2,70,H0,13.251613749426863,0.0,"LINESTRING (4.1242054 51.972790485, 3.9967422 51.883210425)"
12,B2,71,H1,10.87727875248952,0.0,"LINESTRING (4.1242054 51.972790485, 4.0604738 51.88321042500001)"
12,B2,72,H2,9.96084820060942,0.0,"LINESTRING (4.1242054 51.972790485, 4.1242054 51.88321042500002)"
12,B2,73,H3,10.87727875248952,0.0,"LINESTRING (4.1242054 51.972790485, 4.187937 51.88321042500001)"
12,B2,74,H4,13.251613749766925,330.88126517553894,"LINESTRING (4.1242054 51.972790485, 4.2516686 51.88321042500001)"
12,B2,75,H5,16.464770714907,102.85705548264646,"LINESTRING (4.1242054 51.972790485, 4.3154002 51.88321042500002)"
12,B2,76,H6,20.118780852702685,328.26150964481064,"LINESTRING (4.1242054 51.972790485, 4.3791318 51.88321042500001)"
12,B2,77,H7,24.013229049370338,366.2286588035143,"LINESTRING (4.1242054 51.972790485, 4.4428634 51.88321042500001)"
12,B2,78,H8,28.048137586344595,649.7318442428324,"LINESTRING (4.1242054 51.972790485, 4.506595 51.88321042500002)"
12,B2,79,H9,32.17069691451191,141.58725632528052,"LINESTRING (4.1242054 51.972790485, 4.5703266 51.88321042500001)"
12,B2,80,I0,14.541648715652318,0.0,"LINESTRING (4.1242054 51.972790485, 3.9967422 51.86828041500001)"
12,B2,81,I1,12.415733542290091,0.0,"LINESTRING (4.1242054 51.972790485, 4.0604738 51.868280415)"
12,B2,82,I2,11.620989567580917,0.0,"LINESTRING (4.1242054 51.972790485, 4.1242054 51.86828041500001)"
12,B2,83,I3,12.415733542290091,0.0,"LINESTRING (4.1242054 51.972790485, 4.187937 51.868280415)"
12,B2,84,I4,14.541648715342426,174.66248690980893,"LINESTRING (4.1242054 51.972790485, 4.2516686 51.868280415)"
12,B2,85,I5,17.520692866135217,327.4169874579064,"LINESTRING (4.1242054 51.972790485, 4.3154002 51.86828041500001)"
12,B2,86,I6,20.992754930745456,695.1994226112128,"LINESTRING (4.1242054 51.972790485, 4.3791318 51.868280415)"
